,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,13300000.0,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
1,12250000.0,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
2,12250000.0,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
3,12215000.0,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
4,11410000.0,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
5,10850000.0,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
6,10150000.0,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
7,10150000.0,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
8,9870000.0,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9,9870000.0,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
10,9800000.0,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
11,9681000.0,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
12,9310000.0,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
13,9240000.0,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
14,9240000.0,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
15,9100000.0,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
16,9100000.0,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
17,8960000.0,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
18,8890000.0,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
19,8855000.0,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
20,8750000.0,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
21,8750000.0,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
22,8645000.0,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
23,8645000.0,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
24,8575000.0,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
25,8540000.0,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
26,8463000.0,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
27,8463000.0,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
28,8400000.0,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
29,8400000.0,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
30,8400000.0,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
31,8400000.0,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
32,8295000.0,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
33,8190000.0,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
34,8120000.0,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
35,8080940.0,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
36,8043000.0,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
37,7980000.0,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
38,7962500.0,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
39,7910000.0,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
40,7875000.0,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
41,7875000.0,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
42,7700000.0,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
43,7700000.0,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
44,7560000.0,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
45,7560000.0,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
46,7525000.0,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
47,7525000.0,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
48,7455000.0,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
49,7420000.0,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
50,7420000.0,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
51,7420000.0,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
52,7350000.0,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
53,7350000.0,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
54,7350000.0,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
55,7350000.0,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
56,7343000.0,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
57,7245000.0,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
58,7210000.0,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
59,7210000.0,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
60,7140000.0,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
61,7070000.0,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
62,7070000.0,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
63,7035000.0,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
64,7000000.0,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
65,6930000.0,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
66,6930000.0,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
